question1,question2
Define carbon free radicals. Classify it and discuss its stabilities. Explain enantiomerism with suitable example.,What is a carbon free radical? How is it classified and how stable is it? Can you provide an example of enantiomerism?
What are the methods of work execution? Explain them.,What techniques are used to carry out work? Describe them in detail.
What are various steps that are to be followed while designing a filter?An engineer is asked to design a filter to realize one of the following transfer functions. Justify his reply,"What steps must an engineer take in order to design a filter that is capable of realizing one of the given transfer functions, and how can they justify their choice of steps?"
Define conceptual class. Explain the role of domain modelling with an example,"What is a conceptual class? How does domain modelling work, and can you provide an example?"
Find out the output voltage of temperature compensated logarithmic amplifier with respective circuit diagram.,What is the output voltage of a temperature compensated logarithmic amplifier when looking at the corresponding circuit diagram?
For laminar flow through 75 mm diameter pipe the maximum shear stress is 50N/m2 at a discharge of 7.5 lps of oil if mass density 900 kg/m2. Find the viscosity of oil and check the Reynolds number.,"What is the viscosity of the oil and what is the Reynolds number when the maximum shear stress is 50N/m2, the diameter of the pipe is 75 mm, the discharge is 7.5 lps, and the mass density is 900 kg/m2?"
Define lighting model and ambient light Differentiate phong Shading and gouraud Shading method.,What is the definition of lighting model and ambient light? How do Phong Shading and Gouraud Shading methods differ?
"For the circuit given, the load current varies from 15 mA to 100 mA. Find the value of the series resistance R1 to maintain the voltage of 10V across the load. The minimum Zener current is 10 mA","What resistor value, R1, is necessary to keep the voltage across the load fixed at 10V while the current moves from 15 mA to 100 mA, and ensure that the Zener current is at least 10 mA?"
"What is fire place? What are the functions of fire back, chimney stack and chimney breast?","What is the purpose of a fireplace? What are the roles of a fireback, chimney stack, and chimney breast?"
What are the factors affecting seed rate? What is the meaning and significance of seed dormancy?,"What elements influence the amount of seeds that need to be planted, and what does it mean for seeds to be dormant?"
Explain how system development is based on user requirement.,Describe how user needs form the basis of system development.
Describe the basic principles of what is officially called the Modern Architecture Style. Pick one architect (excluding the four masters of Modern Architecture) and explain how this architect’s buildings fulfill the requirements for Architectural Modernism.,Outline the tenets of Modernist Architecture and discuss how the work of a single architect (apart from the four key proponents of Modernism) corresponds with those principles.
Write the functions of data link layer. Explain in brief about HDLC frame format.,Describe the duties of the data link layer and give a brief overview of the High-Level Data Link Control frame format.
Why is requirement capture difficult? Explain.,What makes it challenging to capture requirements? Please elaborate.
What do you mean by project planning? Explain the importance of project planning.,What is the concept of project planning? Why is it important to consider project planning?
Explain the role of gathering statistics in discrete simulation with suitable examples in brief.,"What is the importance of collecting data in discrete simulation, and how can it be demonstrated using examples?"
Derive an expression for difference mode gain and common mode gain of differential amplifier.,Find the equation for the gain when the inputs of a differential amplifier are different and the gain when the inputs are the same.
Why OOP is known as a new paradigm? Illustrate with certain examples.,What are the reasons that Object-Oriented Programming is considered to be a new way of programming? Provide examples to demonstrate this.
A concentrated vertical load of 45 T acts on the ground surface. Compute the vertical pressure due to loading (i) at a depth of 2.5 m below the load (ii) at a distance of 3.5 m at a same depth. Use Boussineq’s equation.,"Calculate the vertical pressure caused by the 45 T load at a depth of 2.5 m below the load, as well as at a distance of 3.5 m at the same depth, using Boussineq's equation."
Describe the differential protection scheme for the generators and show how the basic percentage differential scheme can overcome the disadvantage of basic differential scheme of generators.,Explain the system of differential protection for generators and illustrate how the percentage differential approach can address the drawbacks of the basic differential system for generators.
How Cellular Telephoone System and Satellite Communication work? Explain.,Explain the functioning of both cellular telephone systems and satellite communication.
Obtain the overall transfer function C(s)/R(s) using block diagram reduction technique.,Find the total transfer function C(s)/R(s) by using block diagram reduction.
Explain characteristics of critical path in network diagram.,Describe the features of the critical path in a network diagram.
"Explain the working principle and uses of limiter, mixer, up and down converter.","Describe how a limiter, mixer, up-converter and down-converter operate and what they are used for."
Explain about the necessity of bundling the conductors in EHV transmission system. Derive an expression for the Geometric Mean Radius (GMR) of the n-subconductor bundle in an EHV transmission system.,Describe why it is essential to group together multiple conductors in an extra-high voltage transmission system. Compute the Geometric Mean Radius of an n-conductor bundle in an EHV transmission system.
"Compute the DFT of the given sequence using DITFFT algorithm: x[n] = {1, 1, 0, 1, 0, 0, 1}","Calculate the Discrete Fourier Transform of the sequence x[n] = {1, 1, 0, 1, 0, 0, 1} using the Decimation in Time Fast Fourier Transform algorithm."
What is difference between relational calculus and relational algebra?Write about any 3 types of relational algebric operators.,"What are the distinctions between relational calculus and relational algebra? Additionally, what are three types of relational algebraic operators?"
"What is attribute visibility how it is different from parameter visibility, explain with example.","How does attribute visibility differ from parameter visibility, and can you provide an example?"
Design a suitable slab base for a steel column section ISHB 350 subjected to an axial load of 900KN. The base rests on a concrete pedestal. The safe bearing pressure of concrete may be taken as 4N/mm2,"Create a slab base that is appropriate for a steel column section ISHB 350 that is bearing an axial load of 900KN. The base should be placed on a concrete pedestal, and the safe bearing pressure of the concrete should be 4N/mm2."
What is unit step function and impulse function? Obtain the Fourier transform of Unit step function,"What are the characteristics of the unit step and impulse functions, and what is the Fourier transform of the unit step function?"
Differentiate micro kernel over monolithic kernel? Describe process creation method in distributed system.,What are the key differences between a micro kernel and a monolithic kernel? How does process creation work in a distributed system?
"Write short notes on any two: i) Corrosion and its mechanism ii) COD estimation iii) Soil pollution and its sources, effects and control measures","What are corrosion and its mechanism? What is the estimation of COD? What are soil pollution and its sources, effects, and control measures?"
Why Estimate is the important part of Tender Documents? What are the different methods of taking out quantities of Building estimate ? Explain them clearly?,What is the importance of an Estimate in Tender Documents? What are the various ways to determine the amount of materials required for a Building estimate? Could you please explain them clearly?
"Sixteen bit data are stored in two tables starting at 4050H and 4070H, 10 data in each table. Write an ALP for 8085 to add corresponding data and store it in third table starting at 4090H.","Write a program for the 8085 microprocessor that takes data from two tables beginning at memory addresses 4050H and 4070H, each having 10 entries, and adds each pair of corresponding data together before storing it in a third table beginning at 4090H."
Describe “Garden City Concept”. How has been the 3-Magnet idea incorporated in it? How do you justify its importance on upgrading a deteriorated city scenario after industrial revolution?,"What is the ""Garden City Concept"" and how has the 3-Magnet idea been incorporated into it? How can this concept be used to improve a city that has been negatively impacted by the industrial revolution?"
What is a Use Case? What is the basic difference between Real Use Cases and Essential Use Cases?,What is the distinction between Real Use Cases and Essential Use Cases?
What is the principle of fractional distillation? Mention its applications.,What is the process of fractional distillation? How is it used?
Write short notes on: (Any two) Regenerative braking of induction machine. or Starting dynamics of syn. Machine,Provide a brief overview of two topics: regenerative braking of an induction motor and the starting dynamics of a synchronous machine.
What is lateral load resisting system? How base shear is determined and distributed along the height of building.,What is the purpose of a lateral load resisting system? How is the base shear calculated and distributed across the height of a structure?
Write short notes on: (Any two) Types of Propagation or Modes of operation of optical fiber,Create brief summaries of two different types of propagation or methods of operation for optical fiber.
Explain Barkhausen criterion for oscillation. Design an RC phase-shift oscillator that oscillates at 100 Hz.,Describe the Barkhausen criterion for oscillation. Construct an RC phase-shift oscillator that produces a frequency of 100 Hz.
What are two computational complexities that matter in designing efficient program?,What are two factors to consider when trying to create an efficient program in terms of computational complexity?
Why suspended ceilings are used in building structures? Explain with sketches types of suspended ceilings.,What are the benefits of installing suspended ceilings in building structures? Illustrate the different types of suspended ceilings.
"Draw a fundamental voltage phasor diagram of a winding with a no. of phase=3, Qs=12, p=1 and q=2. Also show the maximum voltages induced in bars in the slots and how does voltage phasor diagram helps in determination of winding factor.","Create a fundamental voltage phasor diagram for a winding with three phases, 12 slots, one pole, and two windings. Display the maximum voltages that appear in each slot and explain how the voltage phasor diagram assists in determining the winding factor."
What is protective relaying? Explain the working of overcurrent relays with their types in brief.,What is the purpose of protective relaying? Describe the operation of overcurrent relays and provide a brief overview of their various types.
What do you mean by heuristic search. Explain how Bayesian network is used to reason on uncertainty with suitable examples,"Rephrase: Could you please explain what heuristic search is, and provide examples of how a Bayesian network can be employed to address uncertain factors?"
Why rate analysis is essential part of cost estimation? How do you prepare rate of an item? Explain with necessary example.,What is the importance of rate analysis in cost estimation? How can one calculate the rate of an item? Can you provide an example to illustrate this?
Design a code converter circuit which converts 8 4 -2 -1 code to binary.,Create an electronic circuit which can transform an 8 4 -2 -1 number representation into its binary equivalent.
What is an antenna temperature? Derive an expression for signal to noise ratio.,"What is the measure of thermal energy radiated by an antenna, and how is the ratio of signal to noise calculated?"
Explain how information technology enhances modern business environment? Justify your answers.,What are some of the ways in which information technology has improved the modern business environment? Why are these improvements important?
"With the help of necessary circuit diagrams and derivations, discuss the applications of an OP-Amp as a summer and Integrator.","Discuss the uses of an OP-Amp as a summer and Integrator, with the aid of appropriate circuit diagrams and calculations."
Write Booth’s algorithm for multiplication and use it to perform 4 x -4,Compose an explanation of Booth's technique of multiplication and employ it to calculate 4 x -4.
Tom is a cat. Pat is a rat. Opus is a penguin. Penguin is a bird. Cat and rat are mammals. Both birds and mammals are animal. Birds have legs and flies. Mammals have limbs and legs. Some animal flies and some do not. Bill and Opus are friends.,"Are Bill and Opus friends, even though one is a penguin and the other is not an animal that can fly?"
What do you mean by strength of a solution? Calculate the strength of 5 gram NaOH pallets dissolved in 200ml solution. Express the concentration in Normality and Molarity.,What is the definition of the strength of a solution? Determine the strength of 5 grams of NaOH pellets that have been dissolved in 200 milliliters of solution. Express the concentration in terms of Normality and Molarity.
Explain the VTC of NMOS inverter with necessary derivations.,Describe the voltage transfer characteristic of a NMOS inverter and provide the equations and calculations needed to do so.
Compare Programmed I/O and Interrupt Driven I/O. How does DMA overcome the problems of both these techniques?,"What are the advantages and disadvantages of Programmed I/O and Interrupt Driven I/O, and how does Direct Memory Access (DMA) address the issues associated with these two approaches?"
What are the requirements of good lighting? Enumerate the factors to be considered while designing an indoor lighting scheme.,What are the necessary components for a successful lighting design? What should be taken into account when creating an interior lighting plan?
"Write short notes on: (Any two) Negotiation and Arbitration, Management by exception, Trade union movement in Nepal","Provide brief descriptions of Negotiation and Arbitration, Management by exception, and the Trade union movement in Nepal."
How does an organization get affected by the impact of diversity issues on human interaction?,What are the consequences for an organization when diversity issues influence human interaction?
Write the difference between linking loader and linkage editors?,What are the distinctions between linking loaders and linkage editors?
What is FDM? Explain the working of FM stereo in light with the FDM.,How does Frequency Division Multiplexing (FDM) work in conjunction with FM stereo broadcasting?
Explain the starting methods of Diesel Power Plant according to the capacity of the plant.,Describe the different ways to initiate a Diesel Power Plant based on its size.
Explain the most economical voltage and current for power transmission? State the limitation of Kelvin’s Law.,Describe the most cost-effective voltage and current for power transmission and identify the constraints of Kelvin's Law.
"Find the exciting current required producing a magnetic flux density 1.2 Tesla in circular iron core of radius 6 cm and cross-sectional area of core  is 15 sq cm, air gap length is  0.02 cm. Take μr = 6000 and N = 600 turns. Draw electrical equivalent CKT.","What amount of current is needed to produce a magnetic flux density of 1.2 Tesla in a circular iron core with a radius of 6 cm and a cross-sectional area of 15 sq cm, an air gap length of 0.02 cm, a relative permeability of 6000, and 600 turns? Construct an electrical equivalent circuit to illustrate this."
"Give outline of Divide and Conquer sorting. Trace sort algorithm with following data: 13, 81, 92, 43, 65, 31, 57, 26, 26, 75, 0","Provide a brief summary of the Divide and Conquer sorting method, and explain the process of sorting the data set {13, 81, 92, 43, 65, 31, 57, 26, 26, 75, 0} using the algorithm."
Define hysteresis loop and eddy current losses in magnetic material. Differentiate between hard magnetic material and soft magnetic material.,What is the meaning of hysteresis loop and eddy current losses in magnetic material? How do hard magnetic material and soft magnetic material differ?
What is programming language? Describe Low Level Language (LLL) and High Level Language (HLL) with examples.,What are programming languages? Can you provide examples of Low Level Languages (LLL) and High Level Languages (HLL)?
Describe different sources of conflicts.,What are some of the various causes of conflicts?
What are the two models of construction phase? What works are performed on that models?,"What are the two approaches to the construction phase, and what tasks are associated with each?"
"The balance wheel of watch oscillates with an angular amplitude of π radian and a period of 0.5 sec. Find Maximum angular speed of wheel, The angular acceleration of wheel when the displacement is π/2 radian.","What is the maximum angular speed of the balance wheel of a watch that oscillates with an angular amplitude of π radians and a period of 0.5 seconds, and what is the angular acceleration of the wheel when the displacement is π/2 radians?"
A tie member in a roof truss is 1.75m long and carries an axial load of 150KN. Design a suitable single unequal angle section if hand driven field rivets are used as joint.,Design a single unequal angle section that will hold an axial load of 150KN and is 1.75m long to be used in a roof truss with hand driven field rivets as joints.
What is the motive behind using java virtual machine? Explain what do you mean by Java Runtime Environment?,What is the purpose of utilizing the Java Virtual Machine? Could you please elaborate on the concept of the Java Runtime Environment?
What is specification? Explain the importance of specification in construction project.,Describe the concept of specification. Elaborate on the significance of specifications in the context of a construction project.
What is a Real Time System? Discuss about the design issues regarding Real Time System.,What are the design considerations for a Real Time System? Explain.
List out the types of boards and describe any 3 of them.,What are the different kinds of boards and can you explain three of them?
What is Hadamard Transform? Explain the properties of Hadamard Transform.,What are the characteristics of Hadamard Transform? Describe the features of Hadamard Transform.
State Bayes’ Theorem.,Describe Bayes' Theorem.
Define magnetization. Discuss the magnetic boundary conditions between two different magnetic materials.,What is magnetization? Explain the magnetic boundary conditions between two different magnetic materials.
"Briefly explain the following types of HVDC links: Monopolar Link, Bipolar Link and Homopolar Link. Explain the role of converter (s) placed at either end of the HVDC link.","Describe in brief the Monopolar Link, Bipolar Link and Homopolar Link of HVDC. Explain the purpose of the converter(s) located at the beginning and end of the HVDC link."
Write an 8086 ALP to find the factorial of 08H using DOS BIOS Interrupt.,Create an 8086 Assembly Language Program to calculate the factorial of the number stored in the 08H register using DOS BIOS Interrupts.
"Define DNS? Explain about different protocols HTTP, POP, SMTP, FTP and their uses.","What is DNS? Describe the various protocols HTTP, POP, SMTP, FTP and their applications."
What are the considerations in deciding upon the pumping depth? Explain the conditions and criteria in deciding upon the need for gravel packing.,What factors should be taken into account when determining the depth of the pump? Describe the conditions and criteria that should be considered when determining if gravel packing is necessary.
What are the problems in the construction of high embankments over weak foundation soils? How are the various problems dealt with? Explain.,What are the issues associated with building tall embankments on soft soil foundations? How do engineers address these issues? Can you provide details?
What do you mean by supply? Explain the law of supply and factors affecting the supply.,"Can you provide an explanation of the concept of supply, including the law of supply and the factors that influence it?"
Explain the Data Flow Architecture and Wave front Processors.,Describe the Data Flow Architecture and how Wave front Processors work.
Define hardness of water. How it estimated in the laboratory?,What is the meaning of water hardness and how can it be measured in a laboratory setting?
"Write short notes on: (Any two) Pumped storage plants, Effect of reheating in a gas turbine power plant, Salient and non-salient pole synchronous generators.","Provide brief descriptions of pumped storage plants, the impact of reheating on a gas turbine power plant, and salient and non-salient pole synchronous generators."
How cooperation and conflict exist simultaneously in the Nepalese society? Under what situations competition transforms into conflict?,"What are the ways in which cooperation and conflict coexist in Nepalese society, and what circumstances lead to competition turning into conflict?"
Write short notes on (any two): i) Cost accounting and general accounting ii) Sole Proprietorship iii) elements of cost,i) Summarize the differences between cost accounting and general accounting. ii) Describe the characteristics of a Sole Proprietorship. iii) Explain the components of cost.
What do you mean by project control? Explain the project control cycle.,Explain the concept of project control and outline the steps in the project control cycle.
Do you think a process can exist without any state? Justify your view with the help of process state transition diagram and PCB.,Can a process exist without any state changes? Explain your opinion using a process state transition diagram and a PCB diagram.
"If the Nyquist samples are quantized into 65,536 levels and then binary coded, determine the number of binary digits required to encode a sample?","How many binary digits are needed to represent a Nyquist sample if it is quantized into 65,536 levels and then binary coded?"
Why it is not preferred to start the d.c motors directly by applying the full voltage? Why the d.c series motor is more suitable for traction purpose?,"What is the reason that it is not recommended to turn on a d.c motor by providing full voltage? Additionally, why is a d.c series motor more appropriate for traction applications?"
Draw the neat sketches of precast concrete slabs and explain the advantages and disadvantages of pcc slab.,Create a detailed illustration of precast concrete slabs and discuss the pros and cons of using them.
What is concrete and what are the areas of its applications? Also explain the advantages of concrete structures.,What are the uses and benefits of concrete structures? Explain what concrete is and the areas in which it is applied.
What are the safety precaution to be taken for electrical working?,What steps should be taken to ensure safety when working with electricity?
How can you generate an SSB modulated wave using frequency-discrimination method? Why is SSB wave superior than standard AM in terms of bandwidth requirement?,What is the process of creating an SSB wave using frequency-discrimination and why does it require less bandwidth than a standard AM wave?
Derive an equation for calculating the total intensity due to specular reflections.,Find an equation that can be used to calculate the total brightness caused by specular reflections.
"Write short notes on: (Any two) Big O notation, Divide and computer algorithm, Deterministic and no-deterministic algorithm.","Create brief summaries of: Big O notation, Divide and Conquer algorithm, Deterministic and Non-deterministic algorithm."
Writh the functional group of following organic compounds: i. Haloalkane ii. Alkanal iii. Alkanone iv. Carboxylic acid v. Ester,"What are the functional groups present in the following organic compounds: i. Haloalkane, ii. Alkanal, iii. Alkanone, iv. Carboxylic acid, v. Ester?"
"A Country Bus Company owns a number of busses. Each bus is allocated to a particular route, although some routes may have several busses. Each route passes through a number of towns. One or more drivers are allocated to each stage of a route, which corresponds to a journey through some or all of the towns on a route. Some of the towns have a garage where busses are kept and each of the busses are identified by the registration number and can carry different numbers of passengers, since the vehicles vary in size and can be single or double-decked. Each route is identified by a route number and information is available on the average number of passengers carried per day for each route. Drivers have an employee number, address and sometimes a telephone number. Identify the entities from the above problem and model it into a ER-diagram.",What entities can be identified from the given problem and how can they be represented in an Entity-Relationship diagram?
Write short notes on any two: i) ROB ii) WAW iii) Reservation Station (RS),i) Provide a brief overview of a Robotically Operated Bank (ROB). ii) Summarize the concept of a Write After Write (WAW) hazard. iii) Describe the purpose of a Reservation Station (RS).
1000 articles from factory A are examined and found to contain 3% defective. 1500 similar articles from factory B are found to contain only 2% defectives. Would you conclude that the products of factory B are superior to the factory A?,"Would you say that the products from factory B are better than those from factory A, based on the examination of 1000 articles from factory A containing 3% defective items and 1500 articles from factory B containing only 2% defective items?"
Explain in brief power spectral density and auto- correlation function.,Describe in a few words what power spectral density and auto-correlation function are.
Discuss the basic factors that affect evaporation and transpiration from river catchments? How lake evaporation is measured.,What are the primary elements that have an impact on evaporation and transpiration from river basins? How is evaporation from lakes quantified?
What is Steel? Explain its types and properties.,Describe Steel and its various kinds and characteristics.
List the various elements used in methods of drive/power transmission and describe them.,What are the components of drive/power transmission and how do they work?
Explain how unique labels can be generated within a macro expansion.,Describe the process of creating distinct identifiers within a macro definition.
"A masonry dam of trapezoidal section is 20 m height and the widths of the top and bottom are 2.5 m and 10 m respectively. The water is stored on the vertical face of the dam and is just to spill over its top. If the specific weight of the masonry is 23 kN / m3, find for one metre length of the dam: the position (point) where the resultant thrust intersects at the base of the dam, check for the stability of the dam, take the coefficient of friction between the dam and the soil as 0.6.","What is the location of the point of intersection of the resultant thrust at the base of a 20 m tall trapezoidal masonry dam with a top width of 2.5 m and a bottom width of 10 m, when the water is just spilling over the top and the specific weight of the masonry is 23 kN/m3, and is the dam stable with a coefficient of friction between the dam and the soil of 0.6?"
What are discontinuities? Explain any two types of fold and elaborate on the engineering consideration during investigation.,"Describe discontinuities and provide details about two different types of folds. Additionally, explain the engineering considerations that should be taken into account when examining them."
Discuss the operation of the three channel multiplexer circuit in detail.,Explain the functioning of the three channel multiplexer circuit in detail.
"A certain water heater operates under steady flow conditions receiving 4.2 kg/s of water at 750C temperature, enthalpy 313.93 kJ/kg. The water is heated by mixing with steam which is supplied to the heater at temperature 100.20C and enthalpy 2676 kJ/kg. The mixer leaves the heater as liquid water at temperature 1000C and enthalpy 419 kJ/kg. How much steam must be supplied to the heater per hour?","What is the hourly rate of steam that must be supplied to a water heater that is receiving 4.2 kg/s of water at 750C with an enthalpy of 313.93 kJ/kg, and is leaving the heater as liquid water at 1000C with an enthalpy of 419 kJ/kg, while being heated by steam supplied at 100.20C and an enthalpy of 2676 kJ/kg?"
Derive wave equation in free space,Find the equation for a wave in an area with no obstacles.
Define linear stretching. Equalize the given histogram and also draw the modification of it.,What is linear stretching? How can you equalize the histogram provided and illustrate the resulting change?
Describe about different types of reserve. Explain critically about the methods of estimation of reserve.,Outline the various kinds of reserves and evaluate the techniques used to estimate them.
Explain different records used by loader.,What are the various types of records used by a loader?
Define soil erosion and its types. Explain the mechanics of soil erosion by water.,What is soil erosion and what are its different forms? How does soil erosion by water occur?
Define the following: i) Vertical photograph ii) Forward overlap iii) Refernce marks iv) Principal point,i) A Vertical photograph is a picture taken with the camera held in an upright position. ii) Forward overlap is when two successive images have an area of overlap. iii) Reference marks are points on a photograph that can be used to measure the relative position of objects on the photograph. iv) The Principal point is the point in a photograph where the subject is in sharp focus.
Why we use WSAStartup( ) and WSACleanup( ) function in windows network Programming.,What is the purpose of using the WSAStartup( ) and WSACleanup( ) functions in Windows network programming?
Explain in brief the engineering roles of vegetation.,Briefly describe the ways in which vegetation is used in engineering.
Draw the flow chart of modern rice milling. Explain the construction and working principle of Vertical abrasive whitening cone.,Create a diagram that illustrates the process of modern rice milling. Describe the design and operation of a Vertical abrasive whitening cone.
Define Engineering geology according to IAEG. What are the scopes of engineering geology for the construction of different civil engineering infrastructures?,"What does the International Association of Engineering Geology (IAEG) say engineering geology is, and what are the applications of engineering geology to the construction of various civil engineering projects?"
"Write short notes on: (Any two) Vapour compression refrigeration cycle, Radiation, Reynolds Number, Vapour power cycle","Provide brief descriptions of the following: Vapour compression refrigeration cycle, Radiation, Reynolds Number, Vapour power cycle."
"Consider following set of processes along with their burst time, arrival time and priorities. Calculate average waiting time and average turnaround time using following scheduling algorithms. i) FCFS ii) SJF iii) Priority (Preemptive) iv) HRRN","What is the average waiting time and average turnaround time when using the First Come First Serve (FCFS), Shortest Job First (SJF), Preemptive Priority, and Highest Response Ratio Next (HRRN) scheduling algorithms for a given set of processes with their burst time, arrival time, and priorities?"
Why do need foundation for building? And describe the purposes of foundation.,What are the purposes of having a foundation for a building?
Design the tension member using two angle sections to carry 180 kN when both angles are connected on both sides of the gusset plate.,Construct a tension member with two angle sections that can support 180 kN when both angles are attached to either side of the gusset plate.
"A 15x20-cm rectangular plate weighing 27 kg is suspended from two pins A and B. If pin A is suddenly removed, determine, angular acceleration of plate, the component of reaction at pin B, immediately after pin A has been moved","What is the angular acceleration of the 15x20-cm rectangular plate weighing 27 kg when pin A is suddenly removed, and what is the component of reaction at pin B right after pin A has been moved?"
What is Zachman Framework. Compare it with GEA in terms of its strength and weakness.,Compare and contrast the Zachman Framework and GEA in terms of their respective strengths and weaknesses.
Describe the working principle of Rankine cycle and derive the equation for the thermal efficiency of Rankine cycle.,Explain how the Rankine cycle works and calculate the equation for the thermal efficiency of the Rankine cycle.
Define analytic function f(z). State Cauchy Riemann equation and hence show that it is the necessary condition for the function to be analytics.,What is an analytic function f(z)? Explain the Cauchy Riemann equation and demonstrate that it is a necessary requirement for the function to be analytic.
"A satellite at a distance of 37,000 km from a point on the Earth’s surface radiates 8W from an antenna with a gain of 20 dB in the direction of the observer. Find the power received by the antenna if the satellite is operating at 10 GHz frequency and the receiving antenna has a gain of 50 dB.","What is the power received by an antenna with a gain of 50 dB if a satellite located 37,000 km away is radiating 8W from an antenna with a gain of 20 dB at a frequency of 10 GHz?"
What is distortion? Describe the effect of input and output coupling capacitor on frequency response.,How does distortion manifest itself? Explain the influence of input and output coupling capacitors on the frequency response.
Explain in detail the structure of an exogenous tree with the help of neat sketch. List the different methods used for seasoning of timber and explain any three of them.,"Provide a diagram of an exogenous tree and describe its components. Additionally, list the various techniques used for seasoning timber and explain three of them in detail."
"Define analog and digital systems. Which system do you prefer and why?
","What is the difference between analog and digital systems? Additionally, which type of system do you favor and why?"""
Describe about the type of reserve. Explain critically about the methods of estimation reserve.,What is the nature of the reserve? How can we accurately assess the amount of the reserve? Analyze the techniques used to estimate the reserve.
A solid cylinder 2m in diameter and 2m high is floating in water with its axis vertical. The specific gravity of the material of cylinder is 0.65. Find its metacentric height. Also state also whether the equilibrium is stable or unstable.,"What is the metacentric height of a floating cylinder 2m in diameter and 2m high made of material with a specific gravity of 0.65, and is the equilibrium of the cylinder stable or unstable?"
Differentiate the characteristic difference between RISC and CISC architectural machines.,What are the main distinguishing features between RISC and CISC architecture?
What is trade union? What do you think is the current scenario of trade union in Nepal?,How would you describe a trade union? What is the current state of trade unions in Nepal?
What is ATM? Explain in brief about ATM services and applications.,Describe ATM services and their uses in a few sentences.
"A 50 cm well completely penetrates an confined aquifer of depth of 20m. After a long period of pumping at a steady rate of 40 lps, the draw down in two observation wells 15m and 30 m from the pumping well were found to be 1.7 and 1.2 m respectively. Determine the permeability and transmissivity of the aquifer. What is the drawdown at the pumping well?","What is the drawdown at the pumping well after a long period of pumping at a steady rate of 40 lps, when two observation wells 15m and 30 m from the pumping well have drawdowns of 1.7 and 1.2 m respectively, in an aquifer of depth 20m penetrated by a 50 cm well? How can the permeability and transmissivity of the aquifer be determined?"
Define lining. What are the advantages of canal lining? Also justify the economics of canal lining.,What is the meaning of lining? What are the benefits of lining a canal? Explain why lining a canal is economically beneficial.
"Define resonance in electric circuit. Explain the variation of inductive reactance, capacitive reactance, impedance and current with frequency in RLC series circuit. Also find the resonant frequency in RLC series circuit.","What is resonance in electrical circuits? How do inductive reactance, capacitive reactance, impedance, and current change as frequency increases in an RLC series circuit? Additionally, how do you calculate the resonant frequency in an RLC series circuit?"
"Define Inverse Laplace Transform. Find the Laplace Transform of common forcing functions: unit step function, delta function and ramp function.","What is the meaning of the Inverse Laplace Transform? Additionally, compute the Laplace Transform of the unit step, delta, and ramp functions."
What is Ian McHarg’s philosophy and basic principle in his book “Design with Nature”. How does it help in planning works?,"What is the main idea behind Ian McHarg's book ""Design with Nature""? How does this concept aid in the planning process?"
Write short notes on any two: i) Reconfigurable Network in Data Parallel Architecture ii) NUMA Machines iii) Cache hit and Cache miss,i) Provide a brief description of Reconfigurable Network in Data Parallel Architecture. ii) Summarize the key features of NUMA Machines. iii) Explain the differences between Cache hit and Cache miss.
Derive the expression for figure of merit (FOM) of Frequency Modulated signal.,What is the equation for the figure of merit of a Frequency Modulated signal?
Explain the road cross-sections with neat sketches for the following cases: steep slope with hard rock; plain area with higher water table; box cut; and hill side unstable slope.,Draw diagrams of the road cross-sections for the following scenarios: a steep incline with hard rock; a flat area with a high water table; a box cut; and a hillside with an unstable slope.
What is the importance of frequency transformation in filter design? Explain how low pass filter can be transformed into high pass filter.,What is the significance of converting frequencies when designing filters? Describe how a low pass filter can be changed to a high pass filter.
"Describe the main plan forms of Nepali tiered temples. How do these plan forms relate to specific deities? How are the three heavenly chariots symbolizing heaven, sky and earth represented in a two tiered temple?","What are the primary design layouts of Nepali tiered temples? How do these designs correspond to particular gods and goddesses? How are the three heavenly chariots, representing heaven, sky and earth, represented in a two-tiered temple?"
Why is Artificial Intelligence important these days? Write about various types of Intelligent Agent.,What are the various types of Intelligent Agents and why is Artificial Intelligence important in the modern world?
What is Turing Test? Describe the application areas of AI.,What is the purpose of the Turing Test? What are some of the ways Artificial Intelligence is used?
Define services and interface. Explain in brief the types of services provided by network layer to its upper layer.,What are services and interface? Give a brief overview of the types of services that the network layer provides to its upper layer.
Derive the equation to determine the length of transition curve on horizontal alignment. Explain the need of transition curve for highway geometry.,"What is the formula for calculating the length of a transition curve in a horizontal alignment, and why is it necessary for highway design?"
"What are intakes? What are important considerations, which govern the site selection of intake",What are the factors to consider when selecting a location for an intake? What is an intake?
Name 5 large hydropower plants of Nepal with their installed capacities.,What are the five biggest hydropower plants in Nepal and what is their total capacity?
"Write short notes on: (Any two) Negligence, Role of Engineers Association of Nepal, Arbitration","Provide brief explanations of: Negligence, The Responsibility of the Engineers Association of Nepal, and Arbitration."
Write down detailed specification for Concrete work and Timber works for doors and windows.,Provide a comprehensive description of the Concrete and Timber work required for doors and windows.
What are the various design factors to be considered in highway lighting? Make some typical layout of street lighting.,What are some typical designs for street lighting that take into account the various design factors to be considered in highway lighting?
Explain data flow architecture and wavefront processors with the help of convolution diagram.,Describe data flow architecture and wavefront processors by utilizing a convolution diagram.
What are lubricants? How are they classified Write down their uses.,What is the purpose of lubricants? How can they be categorized? What are their applications?
Enlist the different water intake system. Explain the different design and construction of spring water tapping system with necessary leveled layout.,"List the various water intake systems. Describe the design and construction of a spring water tapping system, including a diagram of the necessary leveled layout."
